Product Name,Product URL,Product Price,Product Rating,Product Rating Count
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),https://www.amazon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP/ref=sr_1_132?keywords=Bags&qid=1697564583&sr=8-132,199,4.0 out of 5 stars,"6,870"
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B09P5BD6K5/ref=sr_1_133?keywords=Bags&qid=1697564583&sr=8-133,749,4.3 out of 5 stars,503
divjot Khadi PVC Royal Blue Solid Laptop Bagpack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfbXRmOjMwMDA3MzI2OTYyNzMzMjo6MDo6&url=%2Fdivjot-Khadi-Royal-Laptop-Bagpack%2Fdp%2FB0CKLQHPR2%2Fref%3Dsr_1_134_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-134-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,499",4.0 out of 5 stars,"4,173"
"HEROZ Harrow 45 Ltrs Travel Laptop Backpack Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping & Fits Up to 17.3-inch laptop (Notebook) (Grey & Air Force Blue)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfbXRmOjMwMDA3MTUxNTQ4NTYzMjo6MDo6&url=%2FHEROZ-Backpack-Computer-tracking-17-3-inch%2Fdp%2FB0BR9C2DX6%2Fref%3Dsr_1_135_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-135-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,849,4.1 out of 5 stars,173
AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_136?keywords=Bags&qid=1697564583&sr=8-136,149,3.8 out of 5 stars,"2,612"
"Zureni OXO-Biodegradable Garbage Dustbin Bags (Large, 60 x 81 cm) Drawstring Anti-drip Trash Waste Basket Bag for Kitchen Office Warehouse Pantry (Black, Green, Blue, 3 x 15 Pcs/Roll)",https://www.amazon.in/Zureni-OXO-Biodegradable-Drawstring-Anti-drip-Warehouse/dp/B0BTHC4F2T/ref=sr_1_137?keywords=Bags&qid=1697564583&sr=8-137,189,4.1 out of 5 stars,"3,993"
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6/ref=sr_1_138?keywords=Bags&qid=1697564583&sr=8-138,452,2.3 out of 5 stars,9
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_139?keywords=Bags&qid=1697564583&sr=8-139,365,4.3 out of 5 stars,"3,992"
"SFANE Polyester Red Duffel Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1",https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5/ref=sr_1_140?keywords=Bags&qid=1697564583&sr=8-140,270,4.1 out of 5 stars,"6,654"
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_141?keywords=Bags&qid=1697564583&sr=8-141,649,4.3 out of 5 stars,"2,252"
