Product Name,Product URL,Product Price,Product Rating,Product Rating Count,ASIN,Manufacturer,Description
"Wolpin Foldable Shopping Bag for Grocery - Folds to Pocket Size, Tote Grocery Shoulder Handbag Travel Bag for Men and Women (40 x 40 cm)",https://www.amazon.in/Wolpin-Foldable-Shopping-Bag-Grocery/dp/B0B21SYHMB/ref=sr_1_228?keywords=Bags&qid=1697641144&sr=8-228,229,4.0 out of 5 stars,213,Not found,Not found,"FOLDABLE BAGS FOR SHOPPING: Wolpin grocery bags fold easily and quickly into a small mini pouch which makes it easy to carry them in a purse, bag or pocket. Our shopping bags are great to use as daily shopping bags for grocery, shoulder bag or reusable shopping bags."
"DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey, 25 x 10 x 20 CM)",https://www.amazon.in/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV/ref=sr_1_229?keywords=Bags&qid=1697641144&sr=8-229,545,4.0 out of 5 stars,59,Sling Bag 6 chain - Grey,B09CGDFNBV,Not found
"ALTBAG Voyager Leather Laptop and Casual Travel Backpack, Padded shoulder straps and back panel, Dedicated pockets for your laptop, tablet, and smartphone.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjI2NTg5MjA3NTM2NjU1OjE2OTc2NDExNDQ6c3BfbXRmOjMwMDA1NjMxMTc0MTkzMjo6MDo6&url=%2FALTBAG-Backpack-shoulder-Dedicated-smartphone%2Fdp%2FB0CJ2J4W49%2Fref%3Dsr_1_230_sspa%3Fkeywords%3DBags%26qid%3D1697641144%26sr%3D8-230-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"3,499",3.4 out of 5 stars,39,ABBP1,B0CJ2J4W49,"Introducing the ALTBAG Voyager Leather Laptop and Casual Travel Backpack – Your Stylish Companion for Every Journey! Elevate your travel and work experience with the ALTBAG Voyager Backpack, meticulously designed for those who appreciate both fashion and functionality. Crafted from premium leather, this backpack boasts a timeless, sophisticated look that suits any setting, from business meetings to leisurely adventures. The rich leather not only adds a touch of elegance but also promises durability, ensuring your investment lasts for years to come. With ample room to accommodate a laptop up to 15 inches, your tech essentials, and personal belongings, staying organized has never been easier. Multiple compartments, including dedicated pockets for your laptop, tablet, and smartphone, make it effortless to keep your belongings tidy and accessible. Padded shoulder straps and back panel provide all-day comfort, even during long commutes or travels. Transition seamlessly from the boardroom to a weekend getaway with the versatile design that complements your style. The ALTBAG Voyager is expertly crafted with attention to detail, ensuring it withstands the rigors of daily use while exuding an aura of refinement. The top-quality zippers and clasps not only keep your items secure but also add a touch of elegance to the design. The backpack's dimensions are optimized for carry-on requirements, making it the perfect companion for your next adventure. Whether you're a business professional, a frequent traveler, or simply someone who appreciates the finer things in life, the ALTBAG Voyager Leather Laptop and Casual Travel Backpack is your perfect partner. Elevate your style, organization, and comfort with this exceptional accessory. Choose the ALTBAG Voyager today"
"Walkent Waterproof 15.6 inch Laptop Bag 39L (Model Identity, Black) 180° Openable, Anti-Theft, External USB, Expandable for Office, Home, College, Men Women",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjI2NTg5MjA3NTM2NjU1OjE2OTc2NDExNDQ6c3BfbXRmOjIwMTU1NTA5MTQ2NTk4OjowOjo&url=%2FWALKENT-Waterproof-Identity-Anti-Theft-Expandable%2Fdp%2FB0B65SCVRX%2Fref%3Dsr_1_231_sspa%3Fkeywords%3DBags%26qid%3D1697641144%26sr%3D8-231-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"2,852",4.1 out of 5 stars,13,Not found,Not found,Not found
"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Blue (SNAP19CBBLU)",https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27GN41/ref=sr_1_232?keywords=Bags&qid=1697641144&sr=8-232,899,4.3 out of 5 stars,24,B09B27GN41,Safari Industries,"Safari Snap is a 35 Litres, 3 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips."
Lino Perros women fancy shoulder bag,https://www.amazon.in/Lino-Perros-women-shoulder-OFFWHITE/dp/B09P69ZNBP/ref=sr_1_233?keywords=Bags&qid=1697641144&sr=8-233,868,4.2 out of 5 stars,"1,138",B09P69ZNBP,Sumitsu Apparel Pvt Ltd,"This stylish Lino Perros PU yellow women shoulder bag with monochrome chained handle is durable, light-weight and elegant. It has a croc embossed texture on its outer surface. It boosts ample interior space with one main compartment that is secured using a zipper. The supreme quality of trims is sure to turn heads wherever you go. The versatile design can be carried to both formal and casual occasions. Its sturdy build and elegant design make it a style statement for the working woman."
Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75/ref=sr_1_234?keywords=Bags&qid=1697641144&sr=8-234,"1,099",3.9 out of 5 stars,57,B08SW9RJ75,Bagzone Lifestyle Pvt Ltd,"Functional, cute, and trendy this handbag from Lavie will carry all your essentials from morning until night. This medium-size bag can be paired with a loose T-shirt and a pair of denims for a casual look."
American Tourister Spin 49 cms Navy Laptop Backpack,https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR/ref=sr_1_235?keywords=Bags&qid=1697641144&sr=8-235,"1,099",4.2 out of 5 stars,"9,422",B07S13B1HR,American Tourister,Not found
"TRUE HUMAN® Emperor Anti-Theft Laptop Bag, Office bag, college bag With combination security lock and USB charging port(Hybrid)",https://www.amazon.in/TRUE-Anti-Theft-combination-security-charging/dp/B0CJ8WTYFK/ref=sr_1_236?keywords=Bags&qid=1697641144&sr=8-236,650,3.5 out of 5 stars,41,EMP-1,B0CJ8WTYFK,"Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money."
"AirCase Office Sling Messenger Bag fits Upto 15.6"" Laptop/MacBook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel",https://www.amazon.in/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_237?keywords=Bags&qid=1697641144&sr=8-237,999,3.9 out of 5 stars,16,B07V47HHRG,AirCase,Not found
